iter	RMSE
0	109347.4036
1	103897.0897
2	98786.39262
3	94256.28946
4	90288.289
5	87004.28728
6	83966.18609
7	81202.40127
8	78701.20805
9	76354.30913
10	74568.09534
11	72664.32398
12	71154.78242
13	69794.03964
14	68323.5719
15	67002.96296
16	65950.97115
17	64890.86656
18	63970.65885
19	63272.85279
20	62600.97672
21	61999.61486
22	61446.34041
23	60986.22113
24	60405.71922
25	60044.76877
26	59692.97405
27	59306.83948
28	58765.93592
29	58210.38879
30	57917.62336
31	57661.41361
32	57441.28945
33	57243.94264
34	57084.2257
35	56865.26117
36	56576.7221
37	56443.91529
38	56112.77273
39	55910.41824
40	55494.32765
41	55213.91651
42	54988.9043
43	54756.69901
44	54532.29232
45	54349.51473
46	54180.5733
47	54077.21647
48	53929.0364
49	53772.6443
50	53628.77885
51	53535.87198
52	53288.23224
53	53132.08898
54	52967.98444
55	52824.89122
56	52728.98342
57	52653.77904
58	52537.39191
59	52418.90908
60	52313.80115
61	52233.19131
62	52120.11708
63	51932.72575
64	51837.21428
65	51751.33835
66	51702.13497
67	51589.28878
68	51484.53781
69	51411.89774
70	51304.25578
71	51236.4329
72	51143.96998
73	51045.1597
74	50916.86652
75	50810.02441
76	50686.01309
77	50598.94411
78	50521.62743
79	50396.07457
80	50351.2618
81	50256.60229
82	50172.73125
83	50083.77819
84	50012.58075
85	49956.20069
86	49816.92709
87	49747.7826
88	49684.37086
89	49609.26755
90	49534.05229
91	49491.86668
92	49363.15467
93	49246.75043
94	49170.26837
95	49092.26974
96	49011.7893
97	48918.76915
98	48841.41026
99	48746.35599
100	48673.9472
101	48592.23757
102	48496.04865
103	48439.94347
104	48381.28384
105	48333.23267
106	48262.26097
107	48203.0348
108	48125.67231
109	48060.74089
110	47985.28912
111	47917.20504
112	47858.03795
113	47776.91699
114	47692.76439
115	47597.05643
116	47536.59642
117	47474.04526
118	47423.01394
119	47329.6759
120	47282.06669
121	47185.3335
122	47105.77761
123	47050.03111
124	46926.46193
125	46881.7305
126	46831.88517
127	46774.08997
128	46721.47494
129	46657.93961
130	46600.66941
131	46546.98518
132	46510.68916
133	46463.92942
134	46404.94677
135	46339.91049
136	46274.22135
137	46219.66618
138	46175.81405
139	46106.84058
140	46053.27376
141	46018.516
142	45932.99907
143	45830.09594
144	45769.17164
145	45719.32274
146	45660.30999
147	45615.3693
148	45520.55362
149	45457.93643
150	45386.85302
151	45330.17276
152	45270.05974
153	45200.69472
154	45152.94671
155	45121.90086
156	45056.77398
157	45021.73901
158	44962.11959
159	44925.00198
160	44874.72671
161	44834.72397
162	44784.41625
163	44742.18174
164	44705.98471
165	44628.50912
166	44571.70377
167	44521.97425
168	44497.22689
169	44452.23245
170	44401.90292
171	44376.81435
172	44338.22121
173	44293.32263
174	44251.33735
175	44171.1055
176	44122.82042
177	44077.10214
178	44037.05331
179	43996.0567
180	43949.73832
181	43920.02393
182	43874.48387
183	43843.12359
184	43803.0719
185	43768.74612
186	43735.46269
187	43686.99559
188	43649.98624
189	43613.44844
190	43555.78733
191	43515.43022
192	43491.47755
193	43457.01455
194	43427.01337
195	43386.18626
196	43350.44653
197	43323.65277
198	43281.62551
199	43231.89775
200	43201.48729
201	43160.26248
202	43136.32799
203	43064.94655
204	43031.53055
205	42985.97246
206	42953.55944
207	42927.92316
208	42893.45832
209	42853.55966
210	42778.98004
211	42740.01102
212	42702.91881
213	42678.24744
214	42642.54691
215	42612.7237
216	42590.09862
217	42559.72164
218	42514.46635
219	42482.81349
220	42450.24669
221	42437.01718
222	42378.95027
223	42339.8691
224	42314.2677
225	42270.11943
226	42231.81757
227	42187.88264
228	42160.88414
229	42131.80556
230	42100.25985
231	42067.66741
232	42042.19351
233	42012.57933
234	41981.2974
235	41946.80744
236	41915.38129
237	41884.4649
238	41864.47523
239	41845.28185
240	41801.86286
241	41775.86451
242	41737.11492
243	41703.97646
244	41680.96201
245	41660.15438
246	41637.19577
247	41603.94325
248	41578.87265
249	41558.63244
250	41524.64518
251	41492.66676
252	41463.78224
253	41437.76366
254	41405.66503
255	41370.51185
256	41347.28993
257	41311.59923
258	41294.61595
259	41270.33943
260	41244.27923
261	41215.59043
262	41169.49584
263	41147.00376
264	41123.74889
265	41111.81033
266	41084.42046
267	41052.39822
268	41027.92467
269	41007.13681
270	40977.95959
271	40961.28533
272	40936.23621
273	40911.94974
274	40889.38792
275	40866.35336
276	40850.10175
277	40827.61922
278	40795.1536
279	40785.45647
280	40739.46355
281	40709.42613
282	40671.53582
283	40636.67954
284	40617.88469
285	40589.04555
286	40562.78074
287	40536.24095
288	40513.5395
289	40494.09515
290	40470.42964
291	40448.94014
292	40435.35662
293	40410.40339
294	40374.28047
295	40357.43438
296	40312.21579
297	40280.64554
298	40262.35844
299	40234.10747
300	40205.81348
301	40182.88051
302	40149.47106
303	40120.72899
304	40094.25952
305	40068.58867
306	40043.3217
307	40016.25416
308	39986.76215
309	39965.7422
310	39923.43578
311	39904.62407
312	39879.95818
313	39861.66001
314	39837.47649
315	39811.93828
316	39786.9285
317	39772.38904
318	39744.85616
319	39724.25983
320	39711.73963
321	39693.49695
322	39672.23713
323	39651.21828
324	39630.33138
325	39603.92177
326	39573.94793
327	39556.58491
328	39520.84299
329	39499.52183
330	39480.53306
331	39454.82301
332	39440.20069
333	39418.24268
334	39394.5337
335	39378.30952
336	39355.73706
337	39328.97997
338	39303.38404
339	39285.08161
340	39255.11682
341	39237.82123
342	39224.90902
343	39198.82426
344	39177.67713
345	39154.42288
346	39139.65497
347	39122.16834
348	39102.34102
349	39078.58593
350	39063.13749
351	39042.44475
352	39022.13005
353	38999.04723
354	38977.04558
355	38953.05341
356	38935.04763
357	38919.21325
358	38887.48638
359	38863.3558
360	38839.9011
361	38818.20248
362	38802.92555
363	38781.13009
364	38758.85118
365	38740.05484
366	38721.48493
367	38683.75434
368	38660.48417
369	38643.91471
370	38613.31447
371	38592.89478
372	38581.95912
373	38564.06173
374	38548.08095
375	38530.32762
376	38500.81093
377	38472.0529
378	38458.27191
379	38444.22394
380	38428.75536
381	38399.2574
382	38385.97417
383	38371.79585
384	38345.51954
385	38331.46201
386	38314.13343
387	38290.04942
388	38271.73293
389	38247.83303
390	38235.65975
391	38218.03443
392	38205.53167
393	38193.92366
394	38174.10965
395	38157.78539
396	38137.89592
397	38117.23911
398	38085.59429
399	38063.19192
400	38038.00751
401	38025.40888
402	38017.30721
403	38002.88342
404	37984.85454
405	37952.31386
406	37931.90981
407	37912.75993
408	37897.56343
409	37886.9577
410	37871.14363
411	37857.81152
412	37840.65436
413	37815.10938
414	37799.74427
415	37790.11475
416	37777.51407
417	37757.7941
418	37742.25185
419	37716.37545
420	37688.04467
421	37661.87481
422	37645.59566
423	37626.34955
424	37611.53756
425	37593.20089
426	37575.07286
427	37555.83893
428	37538.44369
429	37519.37486
430	37505.48224
431	37496.90314
432	37485.96987
433	37471.39629
434	37453.46829
435	37442.41861
436	37429.6208
437	37414.22428
438	37397.03216
439	37377.36311
440	37363.704
441	37351.69653
442	37334.804
443	37319.01885
444	37303.39729
445	37292.75228
446	37272.9423
447	37255.92142
448	37228.95177
449	37212.96564
450	37176.96289
451	37161.44232
452	37149.71114
453	37128.6067
454	37111.95646
455	37096.21634
456	37070.40175
457	37045.66808
458	37032.25069
